run	barcode	sample
20211110_SEQ3_ARTICV4_JB_LD	86	858146f1935a2466
20211110_SEQ3_ARTICV4_JB_LD	87	027789ccf9f6ff57
20211110_SEQ3_ARTICV4_JB_LD	88	793d753f94a95d06
20211110_SEQ3_ARTICV4_JB_LD	89	5c4354b2fc502b65
20211110_SEQ3_ARTICV4_JB_LD	90	859eb00da3327d9c
20211124_MIDNIGHT_SEQ4_JB_LD	01	1QC
20211124_MIDNIGHT_SEQ4_JB_LD	02	NC
20211124_MIDNIGHT_SEQ4_JB_LD	03	99f42777e5047478
20211124_MIDNIGHT_SEQ4_JB_LD	04	a0b4523b4e30f3fe
20211124_MIDNIGHT_SEQ4_JB_LD	05	688999a3baff0e45
20211124_MIDNIGHT_SEQ4_JB_LD	06	bc7c9f95ed192dd6
20211124_MIDNIGHT_SEQ4_JB_LD	07	44167420dfc6d346
20211124_MIDNIGHT_SEQ4_JB_LD	08	77e9bbbed013a07e
20211124_MIDNIGHT_SEQ4_JB_LD	09	29ff730192903986
20211124_MIDNIGHT_SEQ4_JB_LD	10	58936a2a2972fb4f
20211124_MIDNIGHT_SEQ4_JB_LD	11	fabf597e49a244b8
20211124_MIDNIGHT_SEQ4_JB_LD	12	42b9e86eb7a268b1
20211124_MIDNIGHT_SEQ4_JB_LD	13	03409ddc9f75c396
20211124_MIDNIGHT_SEQ4_JB_LD	14	f26bf2947c81d307
20211124_MIDNIGHT_SEQ4_JB_LD	15	418a77421034314d
20211124_MIDNIGHT_SEQ4_JB_LD	16	efa9524738f7151f
20211124_MIDNIGHT_SEQ4_JB_LD	17	ac926960f4f13bba
20211124_MIDNIGHT_SEQ4_JB_LD	18	54c569736db06ebd
20211124_MIDNIGHT_SEQ4_JB_LD	19	25c870014eec7a15
20211124_MIDNIGHT_SEQ4_JB_LD	20	57756b8c8b6bc594
20211124_MIDNIGHT_SEQ4_JB_LD	21	5098b39242b158ac
20211124_MIDNIGHT_SEQ4_JB_LD	22	e565ef8c0f39f739
20211124_MIDNIGHT_SEQ4_JB_LD	23	5f6c2470006e581b
20211124_MIDNIGHT_SEQ4_JB_LD	24	d2ca04aa8a28b7e0
20211124_MIDNIGHT_SEQ4_JB_LD	25	a8c98dc241bc6cc6
20211124_MIDNIGHT_SEQ4_JB_LD	26	755362a5a533a0de
20211124_MIDNIGHT_SEQ4_JB_LD	27	49e2b7917d22b2f7
20211124_MIDNIGHT_SEQ4_JB_LD	28	be2761fe258b19e4
20211124_MIDNIGHT_SEQ4_JB_LD	29	6879b9d5dc96ff90
20211124_MIDNIGHT_SEQ4_JB_LD	30	a5d39da57716d742
20211124_MIDNIGHT_SEQ4_JB_LD	31	c20b32e534045905
20211124_MIDNIGHT_SEQ4_JB_LD	32	20b475c9f5350762
20211124_MIDNIGHT_SEQ4_JB_LD	33	921d55724ca853d8
20211124_MIDNIGHT_SEQ4_JB_LD	34	c5e0c73f69899237
20211124_MIDNIGHT_SEQ4_JB_LD	35	84629f48884e9628
20211124_MIDNIGHT_SEQ4_JB_LD	36	e6a6b02b19fb134e
20211124_MIDNIGHT_SEQ4_JB_LD	37	03248a6e6bf69e5f
20211124_MIDNIGHT_SEQ4_JB_LD	38	167e04013f972239
20211124_MIDNIGHT_SEQ4_JB_LD	39	bdcb23c0f25ccccd
20211124_MIDNIGHT_SEQ4_JB_LD	40	6a713cb97ed88129
20211124_MIDNIGHT_SEQ4_JB_LD	41	4e666ff1072530cb
20211124_MIDNIGHT_SEQ4_JB_LD	42	3b4a7b54f1841b01
20211124_MIDNIGHT_SEQ4_JB_LD	43	06e4d40ee20cda6c
20211124_MIDNIGHT_SEQ4_JB_LD	44	a794e4af9bb50554
20211124_MIDNIGHT_SEQ4_JB_LD	45	c5bd388dc622cf0c
20211124_MIDNIGHT_SEQ4_JB_LD	46	0d877a9f97689f4b
20211124_MIDNIGHT_SEQ4_JB_LD	47	be6dba4aa94fe8c1
20211124_MIDNIGHT_SEQ4_JB_LD	48	c7d35d2e7b957157
20211124_MIDNIGHT_SEQ4_JB_LD	49	d7bb52226e2774fc
20211124_MIDNIGHT_SEQ4_JB_LD	50	e9972ba79b191491
20211124_MIDNIGHT_SEQ4_JB_LD	51	3c349d95005dd98a
20211124_MIDNIGHT_SEQ4_JB_LD	52	45d6208edd0b02a5
20211124_MIDNIGHT_SEQ4_JB_LD	53	22cbba4a77820864
20211124_MIDNIGHT_SEQ4_JB_LD	54	b263ea771522c402
20211124_MIDNIGHT_SEQ4_JB_LD	55	1834c1232e83fe93
20211124_MIDNIGHT_SEQ4_JB_LD	56	5741e6a8749f1661
20211124_MIDNIGHT_SEQ4_JB_LD	57	a3aa1e902486cb82
20211124_MIDNIGHT_SEQ4_JB_LD	58	dbcee42bc891946e
20211124_MIDNIGHT_SEQ4_JB_LD	59	511196c0992d0cc5
20211124_MIDNIGHT_SEQ4_JB_LD	60	f03b7cd49848be0a
20211124_MIDNIGHT_SEQ4_JB_LD	61	1e4f8503f2b3a7a0
20211124_MIDNIGHT_SEQ4_JB_LD	62	69b1a7d5caaa54d0
20211124_MIDNIGHT_SEQ4_JB_LD	63	7f1cbd7b6ad0a950
20211124_MIDNIGHT_SEQ4_JB_LD	64	ba25ba6a79c3eb7c
20211124_MIDNIGHT_SEQ4_JB_LD	65	2a406b19f0db2578
20211124_MIDNIGHT_SEQ4_JB_LD	66	59b76e3d15fd72ed
20211124_MIDNIGHT_SEQ4_JB_LD	67	0208f03bbec97b65
20211124_MIDNIGHT_SEQ4_JB_LD	68	5d3505bfbf5c196e
20211124_MIDNIGHT_SEQ4_JB_LD	69	8b8a2295dbc9268a
20211124_MIDNIGHT_SEQ4_JB_LD	70	c524ee5e77351c82
20211124_MIDNIGHT_SEQ4_JB_LD	71	2a088fd234ab9c65
20211124_MIDNIGHT_SEQ4_JB_LD	72	15fc6244e617ff1c
20211124_MIDNIGHT_SEQ4_JB_LD	73	792b80afabd3f24d
20211124_MIDNIGHT_SEQ4_JB_LD	74	acc9f3b99efbaacf
20211124_MIDNIGHT_SEQ4_JB_LD	75	6a955745cb7233b7
20211124_MIDNIGHT_SEQ4_JB_LD	76	5a2ba8d0da849748
20211124_MIDNIGHT_SEQ4_JB_LD	77	287f5c97cf29379a
20211124_MIDNIGHT_SEQ4_JB_LD	78	76edbc33f6eaca2e
20211124_MIDNIGHT_SEQ4_JB_LD	79	0153d753356468cb
20211124_MIDNIGHT_SEQ4_JB_LD	80	f238a1c2a1ff5bf6
20211124_MIDNIGHT_SEQ4_JB_LD	81	9698a6cdc25cf0f5
